Rate (MB/s),Avg time,Min time,Max time 
14039.5113,0.0002,0.0002,0.0002
14118.2743,0.0002,0.0002,0.0002
14039.5113,0.0002,0.0002,0.0002
14118.2743,0.0002,0.0002,0.0002
14039.5113,0.0002,0.0002,0.0002
