Rate (MB/s),Avg time,Min time,Max time 
12614.4481,0.0001,0.0001,0.0002
12590.7812,0.0001,0.0001,0.0001
12614.4481,0.0001,0.0001,0.0001
12614.4481,0.0001,0.0001,0.0002
12710.0121,0.0001,0.0001,0.0001
